query_spectrum_nr,rt_time_query_spectrum,precursor_mz_query_spectrum,SpectrumID_GNPS_results,Compound_Name_GNPS_results,Smiles_GNPS_results,MassDiff_GNPS_results,LibMZ_GNPS_results,InChIKey-Planar_GNPS_results,superclass_GNPS_results,ms2query_model_prediction_ms2query_results,precursor_mz_difference_ms2query_results,precursor_mz_analog_ms2query_results,inchikey_ms2query_results,spectrum_ids_ms2query_results,analog_compound_name_ms2query_results,smiles_ms2query_results,cf_kingdom_ms2query_results,cf_superclass_ms2query_results,cf_class_ms2query_results,cf_subclass_ms2query_results,cf_direct_parent_ms2query_results,npc_class_results_ms2query_results,npc_superclass_results_ms2query_results,npc_pathway_results_ms2query_results
423,166.427002,181.073,CCMSLIB00000206017,Massbank: Aminophylline,[H]C([H])([H])N(C(=O)1)C(=O)c(n([H])2)c(nc([H])2)N(C([H])([H])[H])1,0.0,181.073,ZFXYFBGIUFBOJW,Organoheterocyclic compounds,0.8751,0.0,181.073,ZFXYFBGIUFBOJW,CCMSLIB00005771524,Aminophylline,O=C1C2=C(N=CN2)N(C)C(N1C)=O,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,Purine alkaloids,Pseudoalkaloids (transamidation),Alkaloids
344,36.956001,138.058,CCMSLIB00005755284,Massbank: N-methylnicotinate|1-methylpyridin-1-ium-3-carboxylate,C[n+]1cccc(C(=O)[O-])c1,0.00300598,138.055,WWNNZCOKKKDOPX,,0.3041,13.982,124.076,BHAAPTBBJKJZER,CCMSLIB00005765008,p-Anisidine,COC1=CC=C(N)C=C1,Organic compounds,Benzenoids,Phenol ethers,Aminophenyl ethers,Aminophenyl ethers,,,
834,390.897003,457.204,CCMSLIB00003137233,Spectral Match to Baicalin from NIST14,,10.112,447.092,,,0.5284,65.92,391.284,JWZBXKZZDYMDCJ,CCMSLIB00005738621,"4-(3-hydroxy-10,13-dimethyl-6-oxo-1,2,3,4,5,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid",C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])CC([C@@]4([H])[C@]3(C)CC[C@@H](O)C4)=O)CCC(O)=O,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
417,236.373001,177.055,CCMSLIB00003136138,Spectral Match to 3-Hydroxy-4-methoxycinnamic acid from NIST14,,0.00100708,177.056,,,0.8432,0.0,177.055,KSEBMYQBYZTDHS,CCMSLIB00003139575,trans-Ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
446,59.206001,204.124,CCMSLIB00003135497,Spectral Match to Acetyl-DL-carnitine from NIST14,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0.000991821,204.123,RDHQFKQIGNGIED,Lipids and lipid-like molecules,0.8556,0.001,204.123,RDHQFKQIGNGIED,CCMSLIB00006681997,ACETYL-CARNITINE,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,Fatty acyl carnitines,Fatty esters,Fatty acids
621,420.804993,302.233,CCMSLIB00005885063,Octanoylcarnitine - 40.00 eV,CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,14.015999999999998,288.217,CXTATJFJDMJMIY,Lipids and lipid-like molecules,0.6878,84.094,218.139,UFAHZIUFPNSHSL,CCMSLIB00005885048,Propionylcarnitine - 70.00 eV,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,Fatty acyl carnitines,Fatty esters,Fatty acids
892,502.499023,637.356,CCMSLIB00005788112,Apigenin 7-galacturonide,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,190.263,447.093,JBFOLLJCGUCDQP,Phenylpropanoids and polyketides,0.7075,292.153,929.509,MADZMXIFUWFDJK,CCMSLIB00005741392,Soyasapogenol B base + O-HexA-Hex-Pen,O=C(O)C8OC(OC5CCC4(C)(C(CCC2(C)(C4(CC=C1C3CC(C)(C)CC(O)C3(C)(CCC12(C)))))C5(C)(CO)))C(OC7OC(CO)C(O)C(O)C7(OC6OCC(O)C(O)C6(O)))C(O)C8(O),Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Oleanane triterpenoids,Triterpenoids,Terpenoids
727,116.612999,350.088,CCMSLIB00003137233,Spectral Match to Baicalin from NIST14,,97.004,447.092,,,0.409,83.099,433.187,FSNCEEGOMTYXKY,CCMSLIB00006673505,3S_2349_Tetrahydro_1h_pyrido_34b_indole_carboxylic_acid,O=C(O)C3NCC=2NC1=CC=CC=C1C=2C3,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,Beta carbolines,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
180,69.030998,124.076,CCMSLIB00005750262,Massbank:KW102504 p-phenetidine,CCOc1ccc(N)cc1,14.015,138.091,IMPPGHMHELILKG,Benzenoids,0.2939,173.955,298.031,KXNXWINFSDKMHD,CCMSLIB00000207770,"N-[4-(1,3-thiazol-2-ylsulfamoyl)phenyl]acetamide",c1(ccc(NC(=O)C)cc1)S(=O)(NC2=NC=CS2)=O,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,,,Alkaloids
605,338.711975,286.202,CCMSLIB00005885058,Isovalerylcarnitine - 50.00 eV,CC(C)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C,40.032,246.17,IGQBPDJNUXPEMT,Lipids and lipid-like molecules,0.7843,0.001,286.201,LOSHAHDSFZXVCT,CCMSLIB00006581932,(2E)-octenoylcarnitine,,,,,,,,,
